2015-10-11 21:26:31,992 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:26:32,851 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:26:32,961 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"y72vTaQT3CYBafwsXIHowL0JaETy0v1D2SoShcCamAWb0e0Sc72fMsf4QkER35reOz7GjbocwAmxcuDXk7d7RYozB5PPS1ug_NBty2CRZHI","expires_in":7200}
2015-10-11 21:26:36,905 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [LNWpea0995vr18]"}
2015-10-11 21:26:37,813 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:26:37,894 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"y72vTaQT3CYBafwsXIHowL0JaETy0v1D2SoShcCamAXIzaZBltaa6xavbXqdeg4C4YUwnhkMDn6Udxb8HY-HoCC2rS8sZlBuKSnn3rQvuts","expires_in":7200}
2015-10-11 21:26:38,026 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:26:39,762 INFO  [main] (WX_HttpsControler.java:82)     - {"menu":{"button":[{"name":"Neusoft","sub_button":[{"type":"view","name":"官网主页","url":"http:\/\/www.ccniit.com\/","sub_button":[]},{"type":"view","name":"新闻动态","url":"http:\/\/www.ccniit.com\/HTML\/news\/list_18.html","sub_button":[]},{"type":"view","name":"招生","url":"http:\/\/www.ccniit.com\/HTML\/recruit\/","sub_button":[]}]},{"name":"院系","sub_button":[{"type":"view","name":"计算机科学与技术系","url":"http:\/\/web.ccniit.com\/webpage\/164f435a-6bc6-4aa5-a6be-cb44f2cdd119.asp","sub_button":[]},{"type":"view","name":"应用外语系","url":"http:\/\/web.ccniit.com\/WebPage\/996FEC61-B28D-442F-AC65-21EC1059F7EC.asp","sub_button":[]}]},{"name":"服务指南！","sub_button":[{"type":"view","name":"校园导图","url":"http:\/\/www.ccniit.com\/HTML\/service\/article_50.html","sub_button":[]},{"type":"click","name":"后勤保障","key":"123","sub_button":[]}]}]}}
2015-10-11 21:41:58,693 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:41:59,486 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:41:59,578 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"mcaPC8DNYhThbCJojidiuCffA_rcRgw_SzFTmqoeLXSEkNn6wGqn4-Q0aHybpM7E1ZO-4fDOzQ94gkjQw38vG1izJXomHfaYsEYgU9LGEUw","expires_in":7200}
2015-10-11 21:41:59,825 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:41:59,892 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"mcaPC8DNYhThbCJojidiuCffA_rcRgw_SzFTmqoeLXQJn4-N0c6t2f9D-gpFniM9SUjVTs951DNrjKIR7yfysbYyyLa0dpN-b75D4S6q0h8","expires_in":7199}
2015-10-11 21:42:00,093 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [5afhpa0919vr18]"}
2015-10-11 21:42:00,230 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:42:00,286 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"mcaPC8DNYhThbCJojidiuCffA_rcRgw_SzFTmqoeLXSx-qBnfUpjWP6k4dFD1nwtyo1aUzJBLNrrfwSz1cErN7MzCQSC0Rt6ZKsHZDy-oHQ","expires_in":7199}
2015-10-11 21:42:00,418 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:42:00,495 INFO  [main] (WX_HttpsControler.java:82)     - {"menu":{"button":[{"name":"空气质量","sub_button":[{"type":"click","name":"空气质量","key":"1","sub_button":[]}]}]}}
2015-10-11 21:42:34,028 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:42:34,466 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:42:34,549 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"AaYxy-cSw8ZaKsMKOpsgSREizmnlz2f6iwPqvh00uOzJDaG3xaWIHKYdWzKJ0YSifuFcRIu77Q95Drplfhmn9BwSyzU7COR_WfHjfLwUiD8","expires_in":7200}
2015-10-11 21:42:34,794 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:42:34,865 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"AaYxy-cSw8ZaKsMKOpsgSREizmnlz2f6iwPqvh00uOxhEP572JOVVKe1sIxXqPW7Jnke3-UB4-IY-uBXsvkOqCxEm0oWU73tMmCqFaGLtTo","expires_in":7199}
2015-10-11 21:42:35,053 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [d5jqUA0954vr19]"}
2015-10-11 21:42:35,179 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:42:35,243 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"AaYxy-cSw8ZaKsMKOpsgSREizmnlz2f6iwPqvh00uOxYz0bLa7R9d7DKsSwLzlWB2Pgv9r-KJCPFaVm_-LdjszQ7RP_GYUwTc9HyMebqFDI","expires_in":7199}
2015-10-11 21:42:35,363 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:42:35,434 INFO  [main] (WX_HttpsControler.java:82)     - {"menu":{"button":[{"name":"空气质量","sub_button":[{"type":"click","name":"空气质量","key":"1","sub_button":[]}]}]}}
2015-10-11 21:44:11,894 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:44:13,054 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:44:13,141 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"RJ7e1Y7eGFrJt5RoxclC2HxJI57g4jeDzpDswJocsGMqJy03bMGUvJh8xs2d7J7TvnOMYx9aFdzNbIGPjaC_4J_OaI3qAQfviZZNC7XjBGQ","expires_in":7200}
2015-10-11 21:44:13,380 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:44:13,445 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"RJ7e1Y7eGFrJt5RoxclC2HxJI57g4jeDzpDswJocsGNJXDQa9tZ71L5K4NjD5JzoPmPrDvx8q7J99rrGilESAHhTAHC1EHZuZWEFyD09Wg4","expires_in":7200}
2015-10-11 21:44:13,632 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [UeuWqa0052vr19]"}
2015-10-11 21:44:13,758 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:44:13,831 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"RJ7e1Y7eGFrJt5RoxclC2HxJI57g4jeDzpDswJocsGMMKvzux_x2qPYXtJbYF2IHPpYhckHuwzZmNrCBPjUgjFXO5rTbnYFfBscd9ezeZhc","expires_in":7200}
2015-10-11 21:44:13,955 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:44:14,028 INFO  [main] (WX_HttpsControler.java:82)     - {"menu":{"button":[{"name":"空气质量","sub_button":[{"type":"click","name":"空气质量","key":"1","sub_button":[]}]}]}}
2015-10-11 21:44:39,230 ERROR [main] (WX_FileProControler.java:32)     - Malformed \uxxxx encoding.
2015-10-11 21:44:39,683 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:44:39,769 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"nvxdV7V_Cq8QPDDDD-8fpxm_RKXaSk13tTSwJiMdzCdeWKqQuASyVMWF_xnOqKvqOR6da8FlaRDBkpSixZxIYQTGOSbM9LLmniOwV1kOZnk","expires_in":7200}
2015-10-11 21:44:40,014 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
2015-10-11 21:44:40,088 INFO  [main] (WX_HttpsControler.java:82)     - {"access_token":"nvxdV7V_Cq8QPDDDD-8fpxm_RKXaSk13tTSwJiMdzCfrlVmqzpf3WmAbvLc6cgCSR6lpMvXFlY21nQcVRyFyZGnaMh6PTXE3u2zgORFR8iQ","expires_in":7199}
2015-10-11 21:44:40,283 INFO  [main] (WX_HttpsControler.java:82)     - {"errcode":40054,"errmsg":"invalid sub button url domain hint: [eoh4gA0079vr20]"}
2015-10-11 21:44:40,410 INFO  [main] (WX_HttpsControler.java:68)     - https没有提交的数据 或者 输出流为null
